,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
824,mmp138,1707,565.9,2.08,2,,
825,gpm235a,1707.08,565.98,2.08,2,,
826,gpm728b,1708.17,567.07,2.08,2,,
827,mmc0381,1713.5,572.4,2.08,2,,
828,gpm123,1713.89,572.79,2.08,2,,
829,bnlg1746,1714.7,573.6,2.08,2,,
830,gpm807,1715.03,573.93,2.08,2,,
831,isu115,1716.3,575.2,2.08,2,,
832,isu91b,1716.5,575.4,2.08,2,,
833,bnlg1940,1718.7,577.6,2.08,2,,
834,gpm574b,1718.71,577.61,2.08,2,,
835,IDP1450,1719.09,577.99,2.08,2,,
836,psr144a,1720.6,579.5,2.08,2,,
837,psr144c,1722.2,581.1,2.08,2,,
838,gpm16,1724.32,583.22,2.08,2,,
839,gpm922f,1730.59,589.49,2.08,2,,
840,IDP2565,1730.98,589.88,2.08,2,,
841,umc49a,1732.6,591.5,2.09,2,,
842,IDP193,1732.64,591.54,2.09,2,,
843,IDP143,1734.77,593.67,2.09,2,,
844,gpm487,1740.85,599.75,2.09,2,,
845,umc1256,1741.8,600.7,2.09,2,,
846,umc1252,1742,600.9,2.09,2,q13,
847,AY109592,1742.7,601.6,2.09,2,q13,q12
848,gpm365a,1747.28,606.18,2.09,2,q13,q12
849,gpm858d,1772.97,631.87,2.09,2,q13,q12
850,IDP610,1774.42,633.32,2.09,2,q13,q12
851,gpm346c,1774.56,633.46,2.09,2,q13,q12
852,IDP114,1775.91,634.81,2.09,2,q13,q12
853,gpm717a,1783.87,642.77,2.09,2,q13,q12
854,gpm466b,1784.29,643.19,2.09,2,q13,q12
855,gpm383c,1786.85,645.75,2.09,2,q13,q12
856,bnlg469b,1791.2,650.1,2.09,2,q13,q12
857,bnlg1893,1795.9,654.8,2.09,2,,q12
858,IDP171,1800.58,659.48,2.09,2,,q12
859,umc36a,1802.2,661.1,2.09,2,,q12
860,gpm281a,1806.55,665.45,2.09,2,,q12
861,gpm619,1810.76,669.66,2.09,2,,q12
862,IDP661,1816.2,675.1,2.09,2,,
863,AY110389,1822.9,681.8,2.09,2,,
864,IDP1944,1826.25,685.15,2.09,2,,
865,gpm325c,1829.7,688.6,2.09,2,,
866,gpm442a,1829.98,688.88,2.09,2,,
867,umc2184,1833.5,692.4,2.09,2,,
